178.npy,bus
188.npy,park
185.npy,forest_path
143.npy,beach
62.npy,park
21.npy,tram
231.npy,library
134.npy,forest_path
112.npy,cafe/restaurant
91.npy,home
199.npy,tram
28.npy,home
87.npy,park
166.npy,bus
221.npy,residential_area
243.npy,residential_area
282.npy,residential_area
286.npy,beach
270.npy,beach
220.npy,beach
261.npy,train
246.npy,grocery_store
239.npy,home
159.npy,forest_path
316.npy,park
104.npy,bus
186.npy,home
126.npy,park
95.npy,train
149.npy,car
42.npy,beach
132.npy,metro_station
123.npy,library
50.npy,tram
153.npy,forest_path
226.npy,bus
108.npy,forest_path
206.npy,home
9.npy,library
197.npy,cafe/restaurant
255.npy,city_center
325.npy,train
301.npy,library
19.npy,train
348.npy,tram
58.npy,car
4.npy,library
175.npy,library
383.npy,train
1.npy,residential_area
120.npy,tram
215.npy,home
299.npy,tram
73.npy,forest_path
345.npy,park
18.npy,home
34.npy,park
210.npy,train
184.npy,cafe/restaurant
130.npy,park
283.npy,home
25.npy,cafe/restaurant
68.npy,residential_area
190.npy,beach
297.npy,forest_path
375.npy,grocery_store
336.npy,residential_area
70.npy,cafe/restaurant
208.npy,metro_station
385.npy,train
381.npy,train
92.npy,grocery_store
111.npy,cafe/restaurant
327.npy,cafe/restaurant
317.npy,residential_area
347.npy,office
39.npy,cafe/restaurant
335.npy,metro_station
6.npy,park
307.npy,library
41.npy,city_center
202.npy,office
222.npy,beach
366.npy,library
304.npy,tram
277.npy,car
328.npy,library
22.npy,library
276.npy,office
373.npy,bus
23.npy,city_center
341.npy,park
376.npy,cafe/restaurant
266.npy,forest_path
324.npy,residential_area
280.npy,home
88.npy,grocery_store
372.npy,park
218.npy,cafe/restaurant
63.npy,residential_area
142.npy,park
360.npy,office
16.npy,home
288.npy,park
344.npy,home
80.npy,metro_station
30.npy,metro_station
271.npy,metro_station
150.npy,home
230.npy,library
125.npy,bus
285.npy,car
368.npy,bus
274.npy,library
365.npy,metro_station
200.npy,cafe/restaurant
191.npy,cafe/restaurant
264.npy,city_center
162.npy,car
289.npy,residential_area
287.npy,forest_path
66.npy,tram
379.npy,office
386.npy,beach
176.npy,tram
79.npy,beach
172.npy,tram
293.npy,park
133.npy,cafe/restaurant
2.npy,city_center
296.npy,grocery_store
213.npy,train
217.npy,car
227.npy,beach
356.npy,forest_path
33.npy,tram
26.npy,grocery_store
113.npy,city_center
236.npy,office
81.npy,grocery_store
320.npy,forest_path
67.npy,city_center
146.npy,train
351.npy,park
102.npy,residential_area
262.npy,park
233.npy,forest_path
183.npy,metro_station
160.npy,train
